X_Value	laser_0	laser_1	laser_2	Untitled	Untitled 1	Untitled 2
0.000000	0.008053	-0.030566	0.001219	-6.231437E-6	0.000470	0.001082
0.010000	-0.009182	-0.012053	-0.001973	0.000339	0.000194	0.001122
0.020000	-0.015931	0.022601	-0.004435	0.000198	-3.590902E-5	-0.001509
0.030000	-0.020764	-0.056192	-0.021397	0.000436	0.000685	0.002694
0.040000	0.029393	0.008283	0.009518	0.000729	-0.000321	-0.001400
0.050000	-0.009000	-0.033940	-0.014102	0.000326	0.000827	0.000272
0.060000	-0.021585	-0.030931	-0.006715	0.000938	-0.000479	0.001980
0.070000	0.011336	-0.011324	-0.005803	0.000252	0.000485	-0.002116
0.080000	-0.022953	-0.022997	0.005961	0.000437	0.000268	0.002630
0.090000	0.009604	-1.550317E-5	0.026936	0.000245	0.000152	0.000758
0.100000	-0.007632	-0.020078	0.005961	8.100635E-6	0.000373	-0.000729
0.110000	-0.007450	-0.008588	0.003955	0.000249	-0.000101	0.001727
0.120000	0.009330	0.008739	-0.022583	-1.640822E-6	0.000644	0.000299
0.130000	-0.020764	-0.024456	-0.031429	0.000477	-0.000516	-0.001502
0.140000	-0.024230	-0.017981	0.013987	0.000641	0.000671	0.001781
0.150000	0.009786	-0.008679	-0.002520	0.000822	-0.000584	-0.001445
0.160000	-0.006994	0.024334	-0.016108	0.000803	0.000616	-0.000923
0.170000	0.011519	0.003085	-0.023130	0.000717	5.018842E-5	0.002182
0.180000	-0.039550	-0.037223	-0.019117	0.000422	0.000345	-0.001050
0.190000	-0.009000	0.013664	0.008788	5.264554E-5	0.000141	0.000609
0.200000	-0.014016	-0.043151	-0.023312	7.022841E-5	-0.000182	0.002361
0.210000	-0.000884	-0.012236	3.374219E-5	0.000161	0.000178	-0.001195
0.220000	-0.000428	0.001079	0.023653	0.000369	-7.681894E-5	0.001912
0.230000	-0.046481	-0.021811	-0.015561	0.000684	4.003919E-5	0.000540
