X_Value	laser_0	laser_1	laser_2	Untitled	Untitled 1	Untitled 2
0.000000	-0.006701	-0.003872	-0.011671	0.001335	0.001568	0.005477
0.010000	0.006157	0.024763	-0.001366	-0.000362	0.001827	0.001587
0.020000	0.003330	-0.004966	-0.007932	0.001376	-0.002563	-0.005170
0.030000	0.001780	0.004335	0.016964	0.000148	-0.000755	0.005806
0.040000	0.017648	0.003423	0.000823	0.000460	0.000763	7.172877E-5
0.050000	-0.013541	-0.002322	-0.009847	0.000852	0.002543	-0.001865
0.060000	-0.007795	0.022666	0.014775	-0.000552	0.001435	0.002289
0.070000	-0.014726	0.004791	-0.003372	0.000940	-0.002160	0.001991
0.080000	0.005337	-0.007338	-0.013130	0.000146	-0.001139	-0.001585
0.090000	-0.004239	-0.002960	0.002191	0.000188	-0.000429	0.002760
0.100000	-0.010075	-0.029680	0.007115	0.000212	0.002733	0.000369
0.110000	0.005975	0.015096	0.011128	0.000560	0.002880	-0.001569
0.120000	-0.015365	0.020842	0.007115	0.000776	-0.000798	0.004024
0.130000	-0.000773	0.029140	-0.039850	-7.769894E-5	-0.003084	-0.002510
0.140000	0.000959	-0.021290	-0.024712	0.000384	-0.001491	-0.002065
0.150000	-0.018374	-0.013083	-0.014863	0.000676	0.002484	0.002369
0.160000	0.004972	0.041178	-0.003372	0.000370	0.003209	-0.001842
0.170000	0.007890	0.035251	-0.006838	0.000571	-0.000289	0.002689
0.180000	-0.006883	0.055313	0.015231	0.000603	-0.003321	-0.000687
0.190000	-0.010349	0.013364	-0.024074	0.000410	-0.000862	-0.003327
0.200000	-0.026673	0.014732	-0.023162	0.000315	0.002425	0.006079
0.210000	0.013818	0.063886	0.006659	0.000552	0.002818	0.000250
0.220000	0.005519	0.054858	0.019791	0.000338	-0.000158	-0.001458
0.230000	-0.005060	0.056590	0.009486	1.959196E-5	-0.002548	0.003794
0.240000	0.008620	0.051757	-0.008023	0.000137	-0.001662	-0.002218
0.250000	-0.004239	0.015279	-0.029728	0.000245	0.001730	0.002211
0.260000	0.015551	-0.012262	-0.008388	0.000307	0.002649	0.003861
0.270000	-0.022295	0.067534	-0.014133	0.000609	0.000901	-0.003985
0.280000	-0.008616	0.040357	-0.003646	0.000664	-0.001327	0.000748
0.290000	0.006340	0.063703	-0.022797	0.000333	-0.001718	0.001468
0.300000	-0.007431	0.003879	-0.021247	0.000561	0.000398	-0.003034
0.310000	0.015277	0.035524	0.026357	0.000586	0.001556	0.001575
0.320000	-0.017371	0.006980	-0.028633	0.000292	0.001156	-0.000912
0.330000	-0.022295	0.034247	0.017785	0.000237	0.000426	-0.000812
0.340000	0.005975	0.015644	-0.008206	7.012768E-5	-0.001066	0.003855
0.350000	0.008346	-0.024938	-0.006655	0.000408	-0.000892	-0.002879
0.360000	-0.002232	0.004791	0.018788	0.000412	0.000931	0.000138
0.370000	-0.010349	0.014276	-0.012765	0.000328	0.001686	0.004409
0.380000	0.032604	0.043093	0.010580	0.000567	0.000608	-0.002130
0.390000	-0.008616	0.032606	0.014228	0.000269	-0.000748	0.001333
0.400000	-0.025670	0.054402	0.007115	0.000565	-0.001132	0.001449
0.410000	0.012085	0.047471	1.823902E-6	0.000492	0.000256	-0.001924
0.420000	-0.016641	0.049568	-0.018876	0.000377	0.001336	0.003817
0.430000	0.013362	0.048747	0.013590	0.000518	0.000772	-8.078610E-5
0.440000	-0.005515	0.056134	0.024260	0.000136	0.000132	-0.001561
0.450000	-0.014453	0.013820	0.006933	0.000301	-0.001176	0.003120
0.460000	4.742146E-5	0.045556	0.030279	0.000380	-0.000333	-0.001670
0.470000	0.004881	0.051119	-0.026718	0.000609	0.001029	-0.000596
0.480000	-0.012993	0.048747	-0.000910	0.000463	0.001001	0.002192
0.490000	-0.020380	0.035524	-0.003099	0.000368	0.000220	-0.002915
0.500000	-0.008799	0.035980	-0.013130	0.000612	-0.000595	0.001117
0.510000	0.026038	0.054402	0.017055	0.000523	-0.000662	0.001497
0.520000	-0.023116	-0.014086	-0.010942	0.000687	0.000742	-0.003164
0.530000	0.007069	0.002694	-0.003099	0.000367	0.001576	0.003193
0.540000	-0.011717	0.006068	-0.004011	0.000261	0.000940	0.001982
0.550000	0.018378	-0.019740	-0.006838	0.000419	-0.000728	-0.001837
0.560000	-0.015638	0.003423	-0.004649	0.000201	-0.000962	0.002389
0.570000	-0.029682	-0.007794	-0.016231	0.000447	0.000477	-0.000127
0.580000	-0.002506	0.000414	0.013863	0.000302	0.001743	0.001452
0.590000	-0.006427	-0.002231	0.010945	0.000482	0.000760	0.002742
0.600000	0.002054	0.013911	-0.010577	0.000656	-0.000678	-0.002840
0.610000	0.016189	0.070087	-0.020608	0.000521	-0.000654	0.000686
0.620000	-0.023572	0.001691	0.013681	0.000553	0.000490	0.001874
0.630000	-0.001594	0.053125	0.035568	0.000259	0.001426	-0.001181
0.640000	-0.004056	0.055313	0.004926	0.000342	0.000572	0.001314
0.650000	-0.034972	0.041178	-0.012765	0.000240	-0.000935	-0.001198
0.660000	-0.007157	0.047471	0.001643	0.000134	-0.000343	-0.001247
0.670000	-0.003874	0.022210	-0.012401	0.000364	0.000503	0.002976
0.680000	0.021113	0.065892	-0.011398	0.000170	0.001349	-0.000585
0.690000	-0.000682	0.047288	-0.002643	0.000791	0.000348	-0.000976
0.700000	0.005337	0.041725	0.018241	0.000589	-0.000483	0.000897
0.710000	0.019472	0.071090	0.007480	0.000794	-0.000200	-0.000179
0.720000	-0.002232	0.013455	0.005200	0.000770	0.000443	0.001297
0.730000	-0.011261	-0.023479	0.007571	0.000310	0.000750	0.001164
0.740000	0.007617	-0.005605	-0.000910	0.000315	0.000212	-0.000146
0.750000	0.005337	0.008257	0.006933	-9.355714E-5	-4.012471E-5	0.002512
0.760000	0.017283	-0.019740	0.012587	0.000209	-5.837097E-5	0.000783
0.770000	-0.007795	-0.009161	-0.005287	0.000243	0.000701	0.000526
0.780000	-0.023481	0.012634	-0.010577	0.000444	0.000564	0.001488
0.790000	0.018651	0.023851	-0.018876	0.000861	0.000252	-0.001093
0.800000	-0.019195	-0.012718	-0.007476	0.000720	3.728066E-5	3.180556E-5
0.810000	-0.019195	0.018653	0.021433	0.000863	-7.414658E-5	0.000569
0.820000	-0.017371	-0.041080	-0.020608	0.000514	0.000267	-0.001124
0.830000	-0.005607	-0.008888	0.007115	0.000356	0.000471	0.001214
0.840000	-4.377365E-5	0.011631	0.013590	0.000245	0.000434	0.000126
0.850000	-0.006883	0.020842	-0.005743	3.826826E-5	0.000632	-0.000297
0.860000	0.026038	0.039902	-0.001184	0.000259	-4.799063E-5	0.001671
0.870000	-0.041902	-0.028404	-0.029272	0.000189	-0.000133	-6.619446E-5
0.880000	-0.013358	-0.001775	0.005838	0.000538	2.893799E-5	1.459477E-5
0.890000	0.011447	0.007436	-0.001822	0.000656	0.000217	0.001060
0.900000	-0.019560	0.002603	0.016599	0.000784	0.000743	-0.000849
0.910000	0.003969	0.055678	0.007389	0.000885	0.000496	0.001329
0.920000	0.010352	-0.010347	-0.030275	0.000489	-5.621037E-5	0.001671
0.930000	0.014730	0.008713	-0.012492	0.000623	-0.000299	-0.001078
0.940000	-0.028314	-0.021746	-0.013586	0.000280	0.000299	0.001466
0.950000	-0.001776	-0.027036	-0.011215	0.000185	0.001011	0.001363
0.960000	0.005246	0.020021	0.019882	0.000162	0.000712	0.000369
0.970000	0.009349	-0.003507	-0.014042	0.000179	-0.000291	0.001660
