X_Value	laser_0	laser_1	laser_2	Untitled	Untitled 1	Untitled 2
0.000000	-0.006467	-0.000292	-0.032626	0.000361	0.000542	-0.001354
0.010000	0.022807	0.013752	0.038506	0.000396	0.000200	0.003585
0.020000	0.002562	0.002718	-0.028613	0.000367	0.000236	-0.003695
0.030000	0.014508	0.030167	0.032487	0.000699	0.001523	0.003771
0.040000	0.007030	0.034362	0.002484	0.000583	-0.000446	-0.002202
0.050000	-0.010479	-0.011874	-0.032991	0.000644	0.000379	0.001235
0.060000	0.002288	0.021777	0.027289	0.000580	8.203355E-5	0.001668
0.070000	-0.002545	0.004906	-0.016393	0.000409	-0.000704	-0.002266
0.080000	-0.003092	0.035730	0.011239	0.000367	0.000396	0.004435
0.090000	-0.018778	0.033450	-0.003261	0.000175	2.719098E-5	-0.004775
0.100000	-0.019690	-0.010232	-0.018856	0.000496	0.000747	0.005441
0.110000	-0.001633	0.034818	0.012333	0.000154	0.000907	-0.004102
0.120000	-0.040026	0.021321	-0.017670	0.000573	0.000865	0.002863
0.130000	0.020162	-0.014792	0.010601	0.000708	0.000181	0.000124
0.140000	0.019706	-0.021905	-0.000890	0.000401	-0.000136	-0.000872
0.150000	-0.016589	-0.038138	-0.002167	0.000658	0.000682	0.002629
0.160000	0.006939	-0.008226	0.023733	0.000386	-0.001416	-0.002223
0.170000	-0.029995	0.021048	-0.020953	0.000814	0.000176	0.001883
0.180000	0.015785	-0.017984	0.012972	0.000306	0.000299	0.001822
0.190000	0.006118	-0.013424	0.002575	0.000109	0.001742	-0.004740
0.200000	-0.015769	-0.038776	-0.019859	0.000517	0.000155	0.008273
0.210000	0.005298	-0.026830	0.019264	-0.000173	-0.000261	-0.008282
0.220000	0.000920	-0.018987	-0.005450	0.000812	0.003194	0.005722
0.230000	-0.027077	-0.027194	-0.011104	0.000622	-0.002787	-0.001843
0.240000	-0.007835	0.014391	-0.014661	0.000367	-0.001078	0.000874
0.250000	-0.005190	-0.001295	-0.006635	0.001132	0.000875	0.003691
0.260000	0.022807	0.047403	-0.001346	0.000314	-0.000654	-0.007603
0.270000	-0.016498	-0.002572	-0.006179	0.000574	0.000834	0.009614
0.280000	0.013323	-0.008226	0.003487	-9.324224E-5	-0.001036	-0.006123
0.290000	-0.005008	-0.034216	0.003031	0.000353	0.003316	0.003721
0.300000	-0.000904	-0.035858	-0.018126	0.000321	0.001835	-0.002294
0.310000	0.008672	-0.004213	2.188683E-5	-1.287826E-5	-0.002605	0.000593
0.320000	-0.023155	0.003082	-0.001711	0.000943	0.000671	0.002960
0.330000	0.017062	-0.022361	-0.012563	0.001354	-0.000844	-0.003869
0.340000	0.040043	-0.017710	-0.013749	0.000656	-0.001176	0.006552
0.350000	0.008854	-0.054371	-0.021591	0.000349	0.001386	-0.006843
0.360000	-0.002089	0.006548	0.006679	0.000909	-0.000668	0.009108
0.370000	-0.007835	-0.002025	-0.020041	-0.000363	0.002384	-0.007964
0.380000	0.031106	0.025972	-0.001346	0.000188	0.003166	0.004154
0.390000	0.013140	-0.028654	-0.011925	0.000222	-0.001947	-0.000932
0.400000	0.002197	-0.042606	0.003123	0.000161	0.001415	-0.000491
0.410000	0.028096	-0.010506	-0.000890	0.000946	-0.001282	0.004149
0.420000	0.005298	0.006730	-0.018126	0.000461	-0.001907	-0.006465
0.430000	0.005662	-0.039050	0.006679	0.001178	0.000623	0.009102
0.440000	0.022898	-0.040782	-0.004082	0.000404	-0.000838	-0.007822
0.450000	-0.021331	-0.030386	0.000113	0.000690	0.001795	0.007118
0.460000	0.003109	-0.004213	0.028566	0.000474	0.000779	-0.003872
0.470000	-0.001269	0.009101	-0.014113	9.789237E-6	0.001454	0.001017
0.480000	-0.006102	-0.025462	0.003943	0.000826	0.001449	0.001855
0.490000	-0.007835	-0.029292	0.000295	2.605791E-5	-0.001750	-0.003003
0.500000	-0.013580	-0.039050	-0.015390	0.000633	0.000163	0.005296
0.510000	0.026272	0.007004	-0.002623	0.000573	-0.000392	-0.005210
0.520000	-0.007014	0.034362	-0.002623	0.000494	-0.000490	0.004473
0.530000	0.000829	0.014573	-0.015025	0.000872	-3.463329E-5	-0.000499
0.540000	-0.005281	-0.027103	-0.010739	0.000370	0.000918	0.000441
0.550000	-0.032184	-0.015886	-0.018126	0.000802	0.002249	0.001031
0.560000	-0.003548	-0.024732	0.022456	0.000811	0.000792	-0.002146
0.570000	-0.009932	-0.000292	-0.013749	0.000538	-0.000938	0.002130
0.580000	0.016332	0.008007	-0.036091	0.000435	-0.000150	0.000172
0.590000	9.940267E-5	-0.010688	0.002940	7.995490E-5	-0.000634	0.000277
0.600000	-0.005190	-0.039141	-0.014113	0.000209	-0.001056	-6.870964E-5
0.610000	0.004294	-0.005308	0.004034	3.859185E-5	7.109371E-5	0.000749
0.620000	-0.007470	0.015667	-0.011013	0.000446	0.000718	-0.000116
0.630000	-0.017501	0.035913	-0.017123	0.000732	0.001743	0.001017
